	SwanOnly=false
	ScrapingHubOnly=true
	SwanDataDirectory=C:\Workspaces\jobsite\trufa\Common-Data\Swan
	ScrapingHubDataDirectory=C:\Workspaces\jobsite\trufa\Common-Data\ScrapingHubSmall

Loading Scrapinghub data into Mongo
10:47:39
10. MatchResult:  Input: July 2012, Output: 201207
11. MatchResult:  Input: 2009, Output: 200900
11. MatchResult:  Input: 2011, Output: 201100
1. MatchResult:  Input: (2 years 2 months), Output: 000202
10. MatchResult:  Input: August 2012, Output: 201208
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 1999, Output: 199900
11. MatchResult:  Input: 2000, Output: 200000
9. MatchResult:  Input: 4 years, Output: 000400
11. MatchResult:  Input: 2009, Output: 200900
11. MatchResult:  Input: 2013, Output: 201300
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 2004, Output: 200400
11. MatchResult:  Input: 2013, Output: 201300
5. MatchResult:  Input: 6 years 6 months, Output: 000606
10. MatchResult:  Input: June 2008, Output: 200806
0. MatchResult:  Input: Present, Output: 000000
8. MatchResult:  Input: 1 year 1 month, Output: 000101
10. MatchResult:  Input: November 2013, Output: 201311
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 1995, Output: 199500
11. MatchResult:  Input: 1997, Output: 199700
0. MatchResult:  Input: Present, Output: 000000
0. MatchResult:  Input: Present, Output: 000000
2. MatchResult:  Input: (1 year 9 months), Output: 000109
10. MatchResult:  Input: January 2013, Output: 201301
0. MatchResult:  Input: Present, Output: 000000
5. MatchResult:  Input: 4 years 5 months, Output: 000405
10. MatchResult:  Input: July 2010, Output: 201007
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 1987, Output: 198700
11. MatchResult:  Input: 1990, Output: 199000
5. MatchResult:  Input: 4 years 6 months, Output: 000406
10. MatchResult:  Input: June 2010, Output: 201006
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 2012, Output: 201200
11. MatchResult:  Input: 2017, Output: 201700
9. MatchResult:  Input: (1 year), Output: 000100
11. MatchResult:  Input: 2013, Output: 201300
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 2012, Output: 201200
11. MatchResult:  Input: 2015, Output: 201500
5. MatchResult:  Input: 18 years 5 months, Output: 001805
10. MatchResult:  Input: July 1996, Output: 199607
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 1973, Output: 197300
11. MatchResult:  Input: 1978, Output: 197800
1. MatchResult:  Input: (2 years 9 months), Output: 000209
10. MatchResult:  Input: January 2012, Output: 201201
0. MatchResult:  Input: Present, Output: 000000
6. MatchResult:  Input: 1 year 9 months, Output: 000109
10. MatchResult:  Input: March 2013, Output: 201303
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 2006, Output: 200600
11. MatchResult:  Input: 2009, Output: 200900
9. MatchResult:  Input: (7 months), Output: 000007
10. MatchResult:  Input: March 2014, Output: 201403
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 2010, Output: 201000
11. MatchResult:  Input: 2011, Output: 201100
0. MatchResult:  Input: Present, Output: 000000
9. MatchResult:  Input: (2 months), Output: 000002
10. MatchResult:  Input: August 2014, Output: 201408
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 2007, Output: 200700
11. MatchResult:  Input: 2011, Output: 201100
6. MatchResult:  Input: 1 year 11 months, Output: 000111
10. MatchResult:  Input: January 2013, Output: 201301
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 2007, Output: 200700
11. MatchResult:  Input: 2008, Output: 200800
7. MatchResult:  Input: 4 years 1 month, Output: 000401
10. MatchResult:  Input: November 2010, Output: 201011
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 1986, Output: 198600
11. MatchResult:  Input: 1990, Output: 199000
5. MatchResult:  Input: 2 years 9 months, Output: 000209
10. MatchResult:  Input: March 2012, Output: 201203
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 2003, Output: 200300
11. MatchResult:  Input: 2006, Output: 200600
0. MatchResult:  Input: Present, Output: 000000
5. MatchResult:  Input: 2 years 10 months, Output: 000210
10. MatchResult:  Input: February 2012, Output: 201202
0. MatchResult:  Input: Present, Output: 000000
1. MatchResult:  Input: (3 years 11 months), Output: 000311
10. MatchResult:  Input: October 2010, Output: 201010
0. MatchResult:  Input: Present, Output: 000000
1. MatchResult:  Input: (4 years 8 months), Output: 000408
10. MatchResult:  Input: January 2010, Output: 201001
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 1999, Output: 199900
11. MatchResult:  Input: 2003, Output: 200300
0. MatchResult:  Input: Present, Output: 000000
9. MatchResult:  Input: 7 months, Output: 000007
10. MatchResult:  Input: May 2014, Output: 201405
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 2003, Output: 200300
11. MatchResult:  Input: 2006, Output: 200600
5. MatchResult:  Input: 14 years 11 months, Output: 001411
10. MatchResult:  Input: January 2000, Output: 200001
0. MatchResult:  Input: Present, Output: 000000
0. MatchResult:  Input: Present, Output: 000000
5. MatchResult:  Input: 2 years 2 months, Output: 000202
10. MatchResult:  Input: October 2012, Output: 201210
0. MatchResult:  Input: Present, Output: 000000
9. MatchResult:  Input: 1 year, Output: 000100
10. MatchResult:  Input: December 2013, Output: 201312
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 2008, Output: 200800
11. MatchResult:  Input: 2009, Output: 200900
9. MatchResult:  Input: 11 months, Output: 000011
10. MatchResult:  Input: January 2014, Output: 201401
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 1974, Output: 197400
11. MatchResult:  Input: 1980, Output: 198000
0. MatchResult:  Input: Present, Output: 000000
5. MatchResult:  Input: 4 years 2 months, Output: 000402
10. MatchResult:  Input: October 2010, Output: 201010
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 1977, Output: 197700
11. MatchResult:  Input: 1982, Output: 198200
0. MatchResult:  Input: Present, Output: 000000
0. MatchResult:  Input: Present, Output: 000000
1. MatchResult:  Input: (3 years 6 months), Output: 000306
10. MatchResult:  Input: April 2011, Output: 201104
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 2006, Output: 200600
11. MatchResult:  Input: 2010, Output: 201000
9. MatchResult:  Input: 3 years, Output: 000300
10. MatchResult:  Input: December 2011, Output: 201112
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 1952, Output: 195200
11. MatchResult:  Input: 1956, Output: 195600
6. MatchResult:  Input: 1 year 3 months, Output: 000103
10. MatchResult:  Input: September 2013, Output: 201309
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 2012, Output: 201200
11. MatchResult:  Input: 2015, Output: 201500
6. MatchResult:  Input: 1 year 10 months, Output: 000110
10. MatchResult:  Input: February 2013, Output: 201302
0. MatchResult:  Input: Present, Output: 000000
9. MatchResult:  Input: (2 years), Output: 000200
11. MatchResult:  Input: 2009, Output: 200900
11. MatchResult:  Input: 2011, Output: 201100
9. MatchResult:  Input: 5 months, Output: 000005
10. MatchResult:  Input: July 2014, Output: 201407
0. MatchResult:  Input: Present, Output: 000000
0. MatchResult:  Input: Present, Output: 000000
0. MatchResult:  Input: Present, Output: 000000
0. MatchResult:  Input: Present, Output: 000000
0. MatchResult:  Input: Present, Output: 000000
1. MatchResult:  Input: (4 years 9 months), Output: 000409
10. MatchResult:  Input: January 2010, Output: 201001
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 2009, Output: 200900
5. MatchResult:  Input: 2 years 10 months, Output: 000210
10. MatchResult:  Input: February 2012, Output: 201202
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 2007, Output: 200700
11. MatchResult:  Input: 2010, Output: 201000
6. MatchResult:  Input: 1 year 5 months, Output: 000105
10. MatchResult:  Input: July 2013, Output: 201307
0. MatchResult:  Input: Present, Output: 000000
0. MatchResult:  Input: Present, Output: 000000
5. MatchResult:  Input: 8 years 10 months, Output: 000810
10. MatchResult:  Input: February 2006, Output: 200602
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 1989, Output: 198900
11. MatchResult:  Input: 1992, Output: 199200
0. MatchResult:  Input: Present, Output: 000000
9. MatchResult:  Input: 6 years, Output: 000600
11. MatchResult:  Input: 2008, Output: 200800
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 2008, Output: 200800
11. MatchResult:  Input: 2012, Output: 201200
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 2000, Output: 200000
11. MatchResult:  Input: 2003, Output: 200300
0. MatchResult:  Input: Present, Output: 000000
9. MatchResult:  Input: 9 months, Output: 000009
10. MatchResult:  Input: March 2014, Output: 201403
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 1994, Output: 199400
11. MatchResult:  Input: 1996, Output: 199600
6. MatchResult:  Input: 1 year 6 months, Output: 000106
10. MatchResult:  Input: June 2013, Output: 201306
0. MatchResult:  Input: Present, Output: 000000
5. MatchResult:  Input: 4 years 2 months, Output: 000402
10. MatchResult:  Input: October 2010, Output: 201010
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 1987, Output: 198700
11. MatchResult:  Input: 1989, Output: 198900
9. MatchResult:  Input: 18 years, Output: 001800
10. MatchResult:  Input: December 1996, Output: 199612
0. MatchResult:  Input: Present, Output: 000000
9. MatchResult:  Input: 1 year, Output: 000100
11. MatchResult:  Input: 2012, Output: 201200
11. MatchResult:  Input: 2013, Output: 201300
1. MatchResult:  Input: (3 years 9 months), Output: 000309
10. MatchResult:  Input: January 2011, Output: 201101
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 1971, Output: 197100
11. MatchResult:  Input: 1977, Output: 197700
5. MatchResult:  Input: 5 years 11 months, Output: 000511
10. MatchResult:  Input: January 2009, Output: 200901
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 1996, Output: 199600
11. MatchResult:  Input: 1999, Output: 199900
5. MatchResult:  Input: 3 years 9 months, Output: 000309
10. MatchResult:  Input: March 2011, Output: 201103
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 1989, Output: 198900
11. MatchResult:  Input: 1993, Output: 199300
9. MatchResult:  Input: (2 months), Output: 000002
10. MatchResult:  Input: July 2014, Output: 201407
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 2011, Output: 201100
11. MatchResult:  Input: 2017, Output: 201700
2. MatchResult:  Input: (1 year 3 months), Output: 000103
10. MatchResult:  Input: July 2013, Output: 201307
0. MatchResult:  Input: Present, Output: 000000
0. MatchResult:  Input: Present, Output: 000000
6. MatchResult:  Input: 1 year 5 months, Output: 000105
10. MatchResult:  Input: July 2013, Output: 201307
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 2005, Output: 200500
11. MatchResult:  Input: 2010, Output: 201000
9. MatchResult:  Input: 7 months, Output: 000007
10. MatchResult:  Input: May 2014, Output: 201405
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 2002, Output: 200200
11. MatchResult:  Input: 2003, Output: 200300
0. MatchResult:  Input: Present, Output: 000000
9. MatchResult:  Input: 10 months, Output: 000010
10. MatchResult:  Input: February 2014, Output: 201402
0. MatchResult:  Input: Present, Output: 000000
0. MatchResult:  Input: Present, Output: 000000
5. MatchResult:  Input: 2 years 6 months, Output: 000206
10. MatchResult:  Input: June 2012, Output: 201206
0. MatchResult:  Input: Present, Output: 000000
10. MatchResult:  Input: May 2011, Output: 201105
0. MatchResult:  Input: Present, Output: 000000
11. MatchResult:  Input: 2011, Output: 201100
11. MatchResult:  Input: 2014, Output: 201400
5. MatchResult:  Input: 5 years 11 months, Output: 000511
10. MatchResult:  Input: January 2009, Output: 200901
0. MatchResult:  Input: Present, Output: 000000
0. MatchResult:  Input: Present, Output: 000000
1. MatchResult:  Input: (4 years 8 months), Output: 000408
10. MatchResult:  Input: February 2010, Output: 201002
0. MatchResult:  Input: Present, Output: 000000
9. MatchResult:  Input: (7 years), Output: 000700
10. MatchResult:  Input: October 2007, Output: 200710
